#	deviceModel: SM-R900	deviceOs: 11
1689649452602	2235030
1689649452641	2235065
1689649452681	2235095
1689649452721	2235135
1689649452762	2235196
1689649452803	2235256
1689649452842	1986288
1689649452882	1986370
1689649452922	1986454
1689649452963	1986570
1689649453003	2069377
1689649453042	2069121
1689649453082	2068546
1689649453123	2100241
1689649453163	2099601
1689649453204	2099365
1689649453244	2098878
1689649453283	2098491
1689649453323	2097876
1689649453364	2096791
1689649453405	2096351
1689649453444	2095860
1689649453484	2095681
1689649453524	2095192
1689649453564	2094806
1689649453605	2094334
1689649453644	2093662
1689649453684	2092775
1689649453724	2092623
1689649453765	2092144
1689649453806	2091845
1689649453845	2090790
1689649453885	2089644
1689649453925	2087156
1689649453965	2085838
1689649454007	2085408
1689649454046	2084396
1689649454086	2083668
1689649454126	2083295
1689649454166	2082645
1689649454207	2082356
1689649454246	2082292
1689649454287	2082442
1689649454327	2082611
1689649454367	2082737
1689649454408	2082776
1689649454447	2082742
1689649454487	2082593
1689649454527	2082493
1689649454567	2082207
1689649454609	2081345
1689649454648	2080418
1689649454688	2079647
1689649454728	2078943
1689649454768	2078231
1689649454809	2077513
1689649454849	2076858
1689649454889	2076270
1689649454929	2075770
1689649454969	2075497
1689649455010	2075444
1689649455049	2076187
1689649455089	2076153
1689649455129	2076051
1689649455169	2076060
1689649455211	2076244
1689649455250	2076352
1689649455290	2076014
1689649455330	2074804
1689649455370	2072725
1689649455411	2071382
1689649455450	2070377
1689649455490	2069509
1689649455531	2068879
1689649455571	2068337
1689649455612	2067844
1689649455651	2067411
1689649455691	2067061
1689649455731	2066798
1689649455771	2066578
1689649455813	2066386
1689649455852	2066196
1689649455892	2066017
1689649455932	2065895
1689649455972	2065807
1689649456013	2065762
1689649456053	2065555
1689649456093	2065229
1689649456133	2064858
1689649456173	2064502
1689649456214	2064205
1689649456253	2063962
1689649456293	2063802
1689649456333	2063625
1689649456374	2063470
1689649456415	2063375
1689649456454	2063338
1689649456494	2063382
1689649456534	2063417
1689649456574	2063474
1689649456615	2063589
1689649456655	2063704
1689649456695	2063875
1689649456735	2064032
1689649456775	2063922
1689649456816	2063670
1689649456855	2063512
1689649456895	2063445
1689649456935	2063385
1689649456975	2063396
1689649457017	2063445
1689649457056	2063483
1689649457096	2063546
1689649457136	2063677
1689649457176	2063834
1689649457217	2064015
