#	deviceModel: SM-R900	deviceOs: 11
1689664483317	2574776
1689664483357	2200711
1689664483398	2200602
1689664483438	2200446
1689664483479	2200296
1689664483519	2200168
1689664483559	1538543
1689664483599	1538450
1689664483640	1538442
1689664483681	1538424
1689664483720	1642173
1689664483760	1642273
1689664483801	1642339
1689664483841	2061128
1689664483882	2061126
1689664483922	2060428
1689664483962	2059368
1689664484002	2058314
1689664484043	2057567
1689664484084	2057082
1689664484123	2056788
1689664484164	2056516
1689664484204	2056182
1689664484244	2055773
1689664484286	2055361
1689664484325	2055023
1689664484365	2054795
1689664484405	2054635
1689664484445	2054586
1689664484486	2054587
1689664484525	2054606
1689664484565	2054628
1689664484605	2054699
1689664484646	2054768
1689664484687	2054422
1689664484726	2053310
1689664484766	2052218
1689664484806	2051405
1689664484846	2050833
1689664484888	2050491
1689664484927	2050298
1689664484967	2050150
1689664485007	2050013
1689664485047	2049814
1689664485089	2049755
1689664485128	2049759
1689664485168	2049775
1689664485208	2049770
1689664485249	2049897
1689664485290	2050101
1689664485329	2050311
1689664485369	2050600
1689664485410	2050932
1689664485450	2051388
1689664485491	2051611
1689664485530	2051063
1689664485571	2050322
1689664485611	2049883
1689664485651	2049780
1689664485692	2049845
1689664485732	2049923
1689664485772	2049909
1689664485812	2049886
1689664485853	2049752
1689664485894	2049648
1689664485933	2049495
1689664485974	2049290
1689664486014	2049214
1689664486054	2049061
1689664486096	2048911
1689664486135	2048970
1689664486175	2049447
1689664486216	2049750
1689664486256	2051319
1689664486297	2052376
1689664486336	2052687
1689664486376	2052996
1689664486416	2053546
1689664486457	2053906
1689664486498	2054019
1689664486537	2053409
1689664486577	2052168
1689664486617	2050995
1689664486657	2049681
1689664486699	2048666
1689664486738	2047377
1689664486778	2046300
1689664486818	2045618
1689664486858	2045091
1689664486899	2044834
1689664486939	2044633
1689664486979	2044459
1689664487019	2044347
1689664487059	2043921
1689664487101	2042998
1689664487140	2042014
1689664487180	2040766
1689664487220	2040098
1689664487260	2039699
1689664487302	2039365
1689664487341	2039102
1689664487381	2038835
1689664487422	2038577
1689664487462	2038316
1689664487503	2038035
1689664487542	2037784
1689664487582	2037639
1689664487623	2037488
1689664487663	2037358
1689664487704	2037274
1689664487744	2037277
1689664487784	2037156
1689664487824	2036369
1689664487865	2035453
1689664487906	2034726
1689664487945	2034086
1689664487985	2033629
1689664488026	2033305
1689664488066	2033147
1689664488107	2032954
1689664488147	2032677
1689664488187	2032513
1689664488227	2032481
1689664488268	2032427
1689664488309	2032363
1689664488348	2032363
1689664488388	2032279
1689664488428	2032170
1689664488468	2032227
1689664488509	2032134
1689664488548	2031546
1689664488588	2030832
1689664488629	2030268
1689664488669	2030041
1689664488710	2029822
1689664488749	2029716
1689664488789	2029526
1689664488830	2029242
1689664488870	2028983
1689664488911	2028623
1689664488950	2028286
1689664488990	2027958
1689664489031	2027782
1689664489071	2027727
1689664489112	2027720
1689664489151	2027761
1689664489191	2027948
1689664489232	2028218
1689664489272	2028545
1689664489313	2028377
1689664489353	2027926
1689664489393	2027425
1689664489433	2026936
1689664489473	2026547
1689664489515	2026259
1689664489554	2026088
1689664489594	2025979
1689664489634	2025911
1689664489675	2025706
1689664489716	2025545
1689664489755	2025376
1689664489796	2025429
1689664489836	2025562
1689664489876	2025782
1689664489918	2026071
1689664489957	2026330
1689664489997	2026565
1689664490038	2026933
1689664490078	2027188
1689664490119	2026850
1689664490159	2026513
1689664490199	2026290
1689664490239	2026011
1689664490279	2025967
1689664490321	2025972
1689664490359	2026040
1689664490399	2026156
1689664490440	2026253
1689664490480	2026394
1689664490521	2026535
1689664490560	2026752
1689664490600	2026948
1689664490640	2027148
