#	deviceModel: SM-R900	deviceOs: 11
1689649460221	2646429
1689649460262	2253251
1689649460301	2253055
1689649460342	2252877
1689649460381	2252752
1689649460422	2252679
1689649460463	2252601
1689649460502	1973491
1689649460542	1973480
1689649460582	1973477
1689649460622	2041502
1689649460663	2041600
1689649460702	2041690
1689649460742	2041014
1689649460783	2104266
1689649460823	2103177
1689649460864	2102229
1689649460903	2101640
1689649460944	2100841
1689649460984	2100274
1689649461024	2099860
1689649461065	2099539
1689649461104	2099208
1689649461144	2099023
1689649461184	2098877
1689649461224	2098827
1689649461265	2098820
1689649461305	2098893
1689649461344	2098926
1689649461385	2099009
1689649461425	2099107
1689649461466	2099213
1689649461505	2099360
1689649461545	2099335
1689649461585	2098516
1689649461625	2097351
1689649461667	2096434
1689649461706	2095667
1689649461746	2094997
1689649461786	2094492
1689649461826	2094229
1689649461867	2094066
1689649461906	2093915
1689649461946	2093828
1689649461986	2093887
1689649462027	2094023
1689649462067	2094323
1689649462107	2094671
1689649462147	2095051
1689649462187	2095366
1689649462227	2095757
1689649462268	2096122
1689649462307	2096518
1689649462347	2096844
1689649462388	2097157
1689649462428	2096623
1689649462469	2095670
1689649462508	2094910
1689649462548	2094352
1689649462588	2093913
1689649462628	2093580
1689649462669	2093514
1689649462708	2093559
1689649462749	2093491
1689649462789	2093469
1689649462829	2093391
1689649462870	2092994
1689649462909	2092565
1689649462949	2092041
1689649462989	2091827
1689649463029	2091964
1689649463070	2091885
1689649463110	2091640
1689649463150	2091338
1689649463190	2090979
1689649463230	2090205
1689649463271	2088651
1689649463310	2087372
1689649463350	2086520
1689649463390	2085959
1689649463430	2085590
1689649463472	2084987
1689649463511	2084821
1689649463551	2085037
1689649463591	2085250
1689649463631	2086861
1689649463672	2087274
1689649463711	2086662
1689649463751	2088277
1689649463791	2090978
1689649463831	2092561
1689649463872	2095184
1689649463912	2099446
1689649463952	2103368
1689649463992	2105610
1689649464032	2107539
1689649464073	2105835
1689649464112	2104126
1689649464152	2102344
1689649464192	2101088
1689649464232	2099558
1689649464274	2098840
1689649464313	2098403
1689649464353	2098950
1689649464393	2099932
1689649464433	2099415
1689649464474	2099853
1689649464513	2100433
1689649464553	2101744
1689649464593	2101877
1689649464633	2101492
1689649464675	2099497
1689649464714	2095214
1689649464754	2091712
1689649464794	2091612
1689649464834	2092424
1689649464875	2092660
1689649464914	2092074
1689649464954	2091306
1689649464995	2090802
1689649465035	2090082
1689649465076	2089716
1689649465115	2089292
1689649465155	2089445
1689649465195	2089692
1689649465235	2090439
1689649465277	2090978
1689649465316	2091350
1689649465356	2091856
1689649465396	2092284
1689649465436	2092485
1689649465477	2092108
1689649465516	2091771
1689649465556	2091691
1689649465596	2091970
1689649465637	2091998
1689649465678	2091278
1689649465717	2090298
1689649465757	2089568
1689649465797	2088993
1689649465837	2088582
1689649465878	2088300
1689649465917	2088262
1689649465958	2088359
1689649465998	2088312
1689649466038	2088260
1689649466079	2088264
1689649466118	2088248
1689649466158	2088422
1689649466198	2088774
1689649466238	2089061
1689649466279	2089350
1689649466318	2089555
1689649466358	2089528
1689649466398	2089240
1689649466438	2088525
1689649466479	2087622
1689649466518	2086950
1689649466558	2086850
1689649466599	2086805
1689649466639	2086788
1689649466680	2086852
1689649466719	2086879
1689649466759	2086904
1689649466799	2086943
1689649466839	2087090
1689649466880	2087208
1689649466919	2087398
1689649466959	2087666
1689649466999	2087970
1689649467039	2088356
1689649467080	2088768
1689649467120	2089206
1689649467160	2089534
1689649467200	2089411
1689649467240	2088737
1689649467281	2088155
1689649467320	2087773
1689649467360	2087444
1689649467400	2087170
1689649467440	2087115
1689649467481	2087082
1689649467520	2087065
1689649467560	2086878
1689649467600	2086402
1689649467640	2086025
1689649467682	2085884
1689649467721	2085911
1689649467761	2086212
1689649467801	2086656
1689649467841	2087532
1689649467882	2088138
1689649467921	2088815
1689649467961	2089248
1689649468001	2089288
1689649468041	2088597
1689649468082	2087978
1689649468121	2087527
1689649468162	2087265
1689649468202	2087069
1689649468242	2086980
1689649468283	2087052
1689649468322	2087075
1689649468362	2087059
1689649468402	2087076
1689649468442	2087193
1689649468483	2087428
1689649468523	2087774
1689649468563	2088211
1689649468603	2088592
1689649468643	2088966
1689649468684	2089289
1689649468723	2089547
1689649468763	2089746
1689649468803	2089899
1689649468843	2089876
1689649468885	2089295
1689649468924	2088622
1689649468964	2088197
1689649469004	2088048
1689649469044	2087934
1689649469085	2087847
1689649469124	2087853
1689649469164	2087883
1689649469205	2087933
1689649469245	2088036
1689649469286	2088248
1689649469325	2088556
1689649469365	2088827
1689649469405	2089188
1689649469445	2089521
1689649469486	2089823
1689649469525	2090079
1689649469566	2090348
1689649469606	2090660
1689649469646	2090947
1689649469687	2090965
1689649469726	2090534
1689649469766	2090030
1689649469806	2089676
1689649469847	2089482
1689649469888	2089313
1689649469927	2089207
1689649469967	2089241
1689649470007	2089266
1689649470047	2089293
1689649470088	2089366
1689649470127	2089503
1689649470168	2089736
1689649470208	2089969
1689649470248	2090209
1689649470289	2090462
1689649470328	2090756
1689649470368	2091031
1689649470408	2091311
1689649470448	2091588
1689649470489	2091899
1689649470529	2092187
1689649470569	2092404
1689649470609	2092091
1689649470649	2091632
1689649470690	2091239
1689649470729	2091048
1689649470769	2090867
1689649470810	2090765
1689649470850	2090766
1689649470891	2090858
1689649470930	2090902
1689649470970	2090952
1689649471010	2091044
1689649471050	2091202
1689649471091	2091368
1689649471130	2091574
1689649471171	2091817
1689649471211	2092086
1689649471251	2092368
1689649471292	2092107
1689649471331	2090739
1689649471371	2090628
1689649471411	2092100
1689649471451	2094000
1689649471492	2095121
1689649471532	2095507
1689649471572	2095669
1689649471612	2095775
1689649471652	2096090
1689649471693	2096021
1689649471732	2096048
1689649471772	2096067
1689649471812	2096050
1689649471852	2096046
1689649471894	2095802
1689649471933	2095709
1689649471973	2095663
1689649472013	2095718
1689649472053	2095737
1689649472094	2095840
1689649472133	2095958
1689649472173	2095903
1689649472213	2095897
1689649472254	2095990
1689649472295	2095600
1689649472334	2095690
1689649472374	2095228
1689649472414	2092650
1689649472454	2089026
1689649472495	2087952
1689649472534	2088230
1689649472574	2088494
1689649472615	2088401
1689649472655	2088288
1689649472696	2088286
1689649472735	2088212
1689649472775	2088043
1689649472815	2087916
1689649472855	2087776
1689649472896	2087623
1689649472935	2087447
1689649472976	2087376
1689649473016	2087321
1689649473056	2087304
1689649473097	2087306
1689649473136	2087354
1689649473176	2087372
1689649473216	2087439
1689649473256	2087496
1689649473297	2087100
1689649473337	2086170
1689649473377	2085303
1689649473417	2084731
1689649473457	2084455
1689649473498	2084017
1689649473537	2083748
1689649473577	2083576
1689649473617	2083428
1689649473657	2083219
1689649473699	2083067
1689649473738	2082923
1689649473778	2082807
1689649473818	2082702
1689649473858	2082579
1689649473899	2082441
1689649473938	2082298
1689649473978	2082092
1689649474019	2081927
1689649474059	2081705
1689649474100	2081513
1689649474139	2081289
1689649474179	2081053
1689649474219	2079995
1689649474259	2078699
1689649474300	2077569
1689649474339	2076663
1689649474379	2075549
1689649474420	2074826
1689649474460	2074239
1689649474501	2073833
1689649474540	2073422
1689649474580	2073014
1689649474620	2072677
1689649474660	2072426
1689649474701	2072268
1689649474740	2072106
1689649474780	2072027
1689649474820	2071984
1689649474860	2071980
1689649474901	2071958
1689649474940	2071981
1689649474981	2072002
1689649475021	2072023
1689649475061	2072095
1689649475102	2072206
1689649475141	2072132
1689649475181	2071336
1689649475221	2070452
1689649475261	2069806
1689649475302	2069380
1689649475341	2069075
1689649475381	2068777
1689649475421	2068657
1689649475461	2068632
1689649475503	2068641
1689649475542	2068631
1689649475582	2068722
1689649475622	2068850
1689649475662	2069014
1689649475703	2069219
1689649475742	2069395
1689649475782	2069568
1689649475822	2069807
1689649475862	2070030
1689649475903	2070341
1689649475942	2070681
1689649475982	2071048
1689649476022	2071369
1689649476063	2071612
1689649476104	2071331
1689649476143	2070783
1689649476183	2070363
1689649476223	2070119
1689649476263	2069959
1689649476304	2069873
1689649476343	2069933
1689649476383	2070059
1689649476423	2070168
1689649476464	2070230
1689649476505	2070348
1689649476544	2070515
1689649476584	2070709
1689649476624	2070907
1689649476664	2071137
1689649476705	2071356
1689649476744	2071565
1689649476785	2071707
1689649476825	2071987
1689649476865	2072253
1689649476906	2072474
1689649476945	2072702
1689649476985	2072481
1689649477025	2071867
1689649477066	2071354
1689649477107	2070975
1689649477146	2070670
1689649477186	2070369
1689649477226	2070240
1689649477266	2070242
1689649477307	2070253
1689649477346	2070280
1689649477387	2070361
1689649477427	2070501
1689649477467	2070656
1689649477508	2070779
1689649477547	2070964
1689649477587	2071191
1689649477627	2071428
1689649477668	2071647
1689649477709	2071929
1689649477748	2072179
1689649477788	2072405
1689649477828	2072666
1689649477868	2072937
1689649477909	2072632
1689649477948	2072015
1689649477988	2071507
1689649478029	2071156
1689649478069	2070820
1689649478110	2070465
1689649478149	2070210
1689649478189	2070081
1689649478229	2069932
1689649478269	2069671
1689649478310	2069432
1689649478350	2069226
1689649478390	2069015
1689649478430	2068822
1689649478470	2068675
1689649478511	2068536
1689649478550	2068472
1689649478590	2068432
1689649478631	2068401
1689649478670	2068417
1689649478712	2068453
1689649478751	2068566
1689649478791	2068638
1689649478831	2068643
1689649478871	2068084
1689649478912	2067519
1689649478951	2067204
1689649478992	2066801
1689649479031	2066453
1689649479072	2066172
1689649479113	2066001
1689649479152	2065913
1689649479192	2065844
1689649479232	2065864
1689649479272	2066144
1689649479313	2066602
1689649479353	2067433
1689649479393	2068358
1689649479433	2069406
1689649479473	2070421
1689649479514	2071317
1689649479553	2072166
1689649479593	2072912
1689649479633	2073580
1689649479673	2074218
1689649479714	2074782
1689649479753	2075316
1689649479793	2075727
1689649479834	2075460
1689649479874	2074922
1689649479915	2074532
1689649479954	2074288
1689649479994	2074008
1689649480034	2073730
1689649480074	2073495
1689649480115	2073312
1689649480154	2073166
1689649480195	2072987
1689649480235	2072820
1689649480275	2072754
1689649480316	2072630
1689649480355	2072526
1689649480395	2072470
1689649480435	2072442
1689649480475	2072505
1689649480516	2072426
1689649480555	2072331
1689649480595	2072341
1689649480636	2072442
1689649480676	2072556
1689649480717	2072297
1689649480756	2071333
1689649480796	2070436
1689649480836	2069813
1689649480876	2069325
1689649480917	2068908
1689649480956	2068644
1689649480996	2068656
1689649481037	2068717
1689649481077	2068774
1689649481118	2068902
1689649481157	2069069
1689649481197	2069289
1689649481237	2069561
1689649481277	2069759
1689649481318	2069938
1689649481357	2070177
1689649481397	2070440
1689649481437	2070643
1689649481477	2070832
1689649481519	2071080
1689649481558	2071276
1689649481598	2071110
1689649481638	2070247
1689649481678	2069388
1689649481719	2068844
1689649481758	2068466
1689649481798	2068091
1689649481838	2067809
1689649481878	2067723
1689649481919	2067685
1689649481959	2067617
1689649481999	2067599
1689649482039	2067588
1689649482079	2067603
1689649482120	2067704
1689649482159	2067750
1689649482199	2067862
1689649482239	2067997
1689649482279	2068116
1689649482320	2068266
1689649482360	2068430
1689649482400	2068592
1689649482440	2068764
1689649482480	2068919
1689649482521	2068689
1689649482560	2067772
1689649482600	2067191
1689649482640	2066621
1689649482680	2066182
1689649482722	2065752
1689649482761	2065440
1689649482801	2065334
1689649482841	2065299
1689649482881	2065201
1689649482922	2065119
1689649482961	2065102
1689649483001	2065137
1689649483042	2065259
1689649483082	2065340
1689649483123	2065438
1689649483162	2065506
1689649483202	2065628
1689649483242	2065747
1689649483282	2065856
1689649483323	2065952
1689649483362	2066080
1689649483402	2066197
1689649483442	2066298
1689649483482	2065754
1689649483523	2064880
1689649483563	2064165
1689649483603	2063736
1689649483643	2063315
1689649483683	2062893
1689649483724	2062726
1689649483763	2062583
1689649483803	2062498
1689649483843	2062377
1689649483883	2062309
1689649483924	2062302
1689649483963	2062316
1689649484003	2062178
1689649484044	2062038
1689649484083	2061907
1689649484125	2061845
1689649484164	2061797
1689649484204	2061802
1689649484244	2061846
1689649484283	2061984
1689649484324	2062199
1689649484363	2062459
1689649484403	2062759
1689649484443	2062492
1689649484483	2061758
1689649484524	2061226
1689649484563	2061040
1689649484603	2060891
1689649484644	2060778
1689649484684	2060761
1689649484725	2060802
1689649484764	2060794
1689649484804	2060785
1689649484844	2060846
1689649484884	2060938
1689649484925	2061080
1689649484964	2061243
1689649485005	2061373
1689649485045	2061534
1689649485085	2061726
1689649485126	2061889
1689649485165	2062051
1689649485205	2062217
1689649485245	2062412
1689649485285	2062581
1689649485326	2062656
1689649485366	2062149
1689649485405	2061556
1689649485446	2061186
1689649485486	2060947
1689649485527	2060747
1689649485566	2060553
1689649485606	2060560
1689649485646	2060575
1689649485686	2060573
1689649485728	2060605
1689649485767	2060684
1689649485807	2060790
1689649485847	2060943
1689649485887	2061101
1689649485928	2061249
1689649485967	2061443
1689649486007	2061608
1689649486047	2061798
1689649486088	2061987
1689649486129	2062222
1689649486168	2062412
1689649486208	2062630
1689649486248	2062841
1689649486288	2063036
1689649486329	2063025
1689649486368	2062519
1689649486409	2062010
1689649486449	2061681
1689649486489	2061437
1689649486530	2061227
1689649486569	2061039
1689649486609	2061027
1689649486649	2061044
1689649486690	2061050
1689649486731	2061062
1689649486770	2061103
1689649486810	2061223
1689649486850	2061344
1689649486890	2061515
1689649486931	2061686
1689649486970	2061875
1689649487010	2062049
1689649487051	2062248
1689649487091	2062479
1689649487132	2062682
1689649487171	2062939
1689649487211	2063141
1689649487251	2063395
1689649487291	2063615
1689649487332	2063883
1689649487371	2063866
1689649487412	2063384
1689649487452	2062839
1689649487492	2062553
1689649487533	2062331
1689649487572	2062110
1689649487612	2061977
1689649487652	2061949
1689649487692	2061933
1689649487733	2061951
1689649487772	2061957
1689649487812	2062008
1689649487852	2062046
1689649487893	2062137
1689649487934	2062265
1689649487973	2062446
1689649488013	2062614
1689649488053	2062807
1689649488093	2063031
1689649488134	2063285
1689649488173	2063574
1689649488213	2063869
1689649488254	2064153
1689649488294	2064411
1689649488335	2064676
1689649488374	2064922
1689649488414	2064655
1689649488454	2064048
1689649488494	2063462
1689649488535	2062966
1689649488574	2062608
1689649488615	2062312
1689649488655	2062135
1689649488695	2061974
1689649488736	2061848
1689649488775	2061706
1689649488815	2061624
1689649488855	2061530
1689649488895	2061496
1689649488936	2061524
1689649488976	2061544
1689649489016	2061602
1689649489056	2061670
1689649489096	2061744
1689649489137	2061861
1689649489176	2061945
1689649489216	2062076
1689649489256	2062117
1689649489296	2062150
1689649489338	2062172
1689649489377	2062182
1689649489417	2061638
1689649489457	2060737
1689649489497	2059940
1689649489538	2059304
1689649489577	2058605
1689649489617	2058063
1689649489657	2057645
1689649489697	2057294
1689649489738	2056960
1689649489777	2056675
1689649489818	2056406
1689649489858	2056208
1689649489898	2056099
1689649489939	2056026
1689649489978	2055987
1689649490018	2055991
1689649490058	2056002
1689649490098	2055989
1689649490139	2056049
1689649490179	2056162
1689649490219	2056228
1689649490259	2056312
1689649490299	2056481
1689649490340	2056593
1689649490379	2056775
1689649490419	2056646
1689649490459	2055994
1689649490500	2055329
1689649490541	2054873
1689649490580	2054542
1689649490620	2054257
1689649490660	2054033
1689649490700	2053956
1689649490741	2053892
1689649490780	2053875
1689649490820	2053836
1689649490860	2053825
1689649490901	2053900
1689649490942	2054094
1689649490981	2054340
1689649491021	2054517
1689649491061	2054694
1689649491101	2054916
1689649491142	2055165
1689649491181	2055373
1689649491221	2055577
1689649491262	2055771
1689649491302	2056010
1689649491343	2056245
1689649491382	2056434
1689649491422	2056640
1689649491462	2056623
1689649491502	2055986
1689649491543	2055340
1689649491582	2054868
1689649491623	2054600
1689649491662	2054405
1689649491703	2054272
1689649491744	2054281
1689649491783	2054368
1689649491823	2054426
1689649491863	2054476
1689649491903	2054604
1689649491944	2054760
1689649491983	2054937
1689649492023	2055120
1689649492063	2055323
1689649492103	2055508
1689649492144	2055687
1689649492183	2055865
1689649492224	2056089
1689649492264	2056284
1689649492304	2056507
1689649492345	2056707
1689649492384	2056920
1689649492424	2057139
1689649492464	2057307
1689649492504	2057528
1689649492545	2057225
1689649492584	2056597
1689649492624	2056094
1689649492664	2055771
1689649492705	2055552
1689649492745	2055341
1689649492785	2055185
1689649492825	2055148
1689649492865	2055106
1689649492905	2055016
1689649492946	2055014
1689649492985	2055030
1689649493025	2055070
1689649493065	2055127
1689649493105	2055255
1689649493146	2055366
1689649493185	2055508
1689649493225	2055628
1689649493265	2055730
1689649493306	2055834
1689649493346	2056017
1689649493386	2056189
1689649493426	2056335
1689649493466	2056582
1689649493506	2056543
1689649493547	2055694
1689649493586	2055422
1689649493626	2055565
1689649493666	2056264
1689649493706	2057529
1689649493747	2059348
1689649493787	2060992
1689649493827	2061814
1689649493867	2062191
1689649493907	2062535
1689649493948	2062818
1689649493987	2062608
1689649494027	2062847
1689649494067	2063281
1689649494107	2064489
1689649494149	2065979
1689649494188	2067370
1689649494228	2068718
1689649494268	2069094
1689649494308	2070265
1689649494349	2071522
1689649494388	2072679
1689649494428	2073795
1689649494469	2075595
1689649494509	2077458
1689649494550	2079520
1689649494589	2081004
1689649494629	2081187
1689649494669	2080669
1689649494709	2079896
1689649494751	2079412
1689649494790	2078744
1689649494830	2078343
1689649494870	2078378
1689649494910	2078573
1689649494951	2077602
1689649494990	2076748
1689649495030	2076559
1689649495071	2077376
1689649495111	2078197
1689649495152	2078756
1689649495191	2079095
1689649495231	2079454
1689649495271	2079901
1689649495311	2080506
1689649495352	2080929
1689649495391	2081328
1689649495432	2081476
1689649495472	2081745
1689649495512	2082022
1689649495553	2082237
1689649495592	2082499
1689649495632	2082211
1689649495672	2081638
1689649495713	2081050
1689649495754	2080657
1689649495793	2080145
1689649495833	2079727
1689649495873	2079368
1689649495913	2079118
1689649495954	2078998
1689649495993	2079046
1689649496033	2079168
1689649496074	2079444
1689649496114	2079848
1689649496155	2080289
1689649496194	2080769
1689649496234	2081176
1689649496274	2081554
1689649496314	2081992
1689649496355	2082448
1689649496394	2082881
1689649496435	2083319
1689649496475	2083730
1689649496515	2083936
1689649496556	2083331
1689649496595	2082348
1689649496635	2081385
1689649496675	2080464
1689649496715	2079437
1689649496756	2078579
1689649496796	2078011
1689649496836	2077685
1689649496876	2077629
1689649496916	2077797
1689649496957	2078202
1689649496996	2078736
1689649497036	2079216
1689649497076	2079899
1689649497116	2080763
1689649497158	2081337
1689649497197	2081763
1689649497237	2082336
1689649497277	2082891
1689649497317	2083556
1689649497358	2084032
1689649497397	2084028
1689649497437	2083074
1689649497477	2081664
1689649497518	2080407
1689649497558	2079412
1689649497598	2078468
1689649497638	2077505
1689649497678	2076768
1689649497718	2076262
1689649497759	2075702
1689649497798	2075281
1689649497838	2074758
1689649497879	2074307
1689649497919	2074056
1689649497960	2074099
1689649497999	2074301
1689649498039	2074525
1689649498079	2074664
1689649498119	2074788
1689649498160	2075099
1689649498199	2075531
1689649498239	2076282
1689649498279	2077026
1689649498319	2077643
1689649498361	2077531
1689649498400	2076825
1689649498440	2075964
1689649498480	2075515
1689649498520	2075252
1689649498561	2075057
1689649498600	2074991
1689649498640	2075144
1689649498680	2075294
1689649498720	2075378
1689649498761	2075538
1689649498800	2075834
1689649498841	2076141
1689649498881	2076565
1689649498921	2076883
1689649498962	2077121
1689649499001	2077447
1689649499041	2077835
1689649499081	2078144
1689649499121	2078562
1689649499162	2078916
1689649499201	2079345
1689649499241	2079753
1689649499281	2079574
1689649499322	2079129
1689649499363	2078837
1689649499402	2078728
1689649499442	2078689
1689649499482	2078624
1689649499522	2078655
1689649499563	2078810
1689649499602	2079020
1689649499642	2079217
1689649499683	2079442
1689649499722	2079722
1689649499764	2080047
1689649499803	2080439
1689649499843	2080789
1689649499883	2081147
1689649499923	2081518
1689649499964	2081889
1689649500003	2082274
1689649500044	2082641
1689649500083	2083013
1689649500124	2083376
1689649500165	2083358
1689649500204	2083001
1689649500244	2082723
1689649500284	2082699
1689649500324	2082710
1689649500365	2082749
1689649500404	2082796
1689649500444	2082985
1689649500484	2083210
1689649500525	2083427
1689649500566	2083610
1689649500605	2083756
1689649500645	2083841
1689649500685	2083979
1689649500725	2084082
1689649500766	2084188
1689649500805	2084296
1689649500845	2084410
1689649500886	2084532
1689649500926	2084655
1689649500967	2084817
1689649501006	2085155
1689649501046	2085324
1689649501086	2085034
1689649501126	2084782
1689649501167	2084695
1689649501206	2084687
1689649501246	2084643
1689649501286	2084661
1689649501326	2084743
1689649501367	2084966
1689649501406	2085157
1689649501447	2085338
1689649501487	2085657
1689649501527	2086099
1689649501568	2086564
1689649501607	2086926
1689649501647	2087230
1689649501687	2087547
1689649501727	2087992
1689649501768	2088467
1689649501807	2088995
1689649501847	2089504
1689649501887	2089955
1689649501927	2090384
1689649501969	2090616
1689649502008	2090387
1689649502048	2090117
1689649502088	2090079
1689649502128	2090165
1689649502169	2090282
1689649502208	2090402
1689649502248	2090575
1689649502288	2090784
1689649502328	2090984
1689649502369	2091157
1689649502409	2091307
1689649502449	2091500
1689649502489	2091742
1689649502529	2091938
1689649502570	2092122
1689649502609	2092343
1689649502649	2092615
1689649502689	2092859
1689649502729	2093260
1689649502771	2093624
1689649502810	2093944
1689649502850	2094237
1689649502890	2094529
1689649502930	2094556
1689649502971	2094142
1689649503010	2093646
1689649503051	2093087
1689649503091	2092836
1689649503131	2092577
1689649503172	2092330
1689649503211	2092181
1689649503251	2092116
1689649503291	2091998
1689649503331	2091860
1689649503372	2091777
1689649503412	2091716
1689649503452	2091670
1689649503492	2091699
1689649503532	2091750
1689649503573	2091836
1689649503612	2091928
1689649503652	2092077
1689649503692	2092218
1689649503732	2092398
1689649503774	2092557
1689649503813	2092769
1689649503853	2092522
1689649503893	2091578
1689649503933	2090574
1689649503974	2089792
1689649504014	2089129
1689649504053	2088466
1689649504094	2087892
1689649504134	2087489
1689649504175	2087240
1689649504214	2086967
