#	deviceModel: SM-R900	deviceOs: 11
1689649456659	2238167
1689649456699	2238020
1689649456740	2237930
1689649456780	2237831
1689649456820	2237735
1689649456860	2237642
1689649456900	1927704
1689649456941	1927598
1689649456980	1927490
1689649457021	1927446
1689649457061	2074697
1689649457101	2074427
1689649457142	2074233
1689649457181	2074000
1689649457221	2073623
1689649457261	2073036
1689649457302	2072745
1689649457343	2072512
1689649457382	2072343
1689649457422	2072150
1689649457462	2071823
1689649457502	2071444
1689649457544	2071124
1689649457583	2070818
1689649457623	2070540
1689649457663	2070260
1689649457703	2070119
1689649457744	2069920
1689649457784	2069841
1689649457824	2069836
1689649457864	2069922
1689649457904	2069959
1689649457945	2069988
1689649457984	2069829
1689649458024	2069657
1689649458064	2069574
1689649458105	2069548
1689649458146	2069713
1689649458185	2069654
1689649458225	2069580
1689649458265	2069382
1689649458305	2069065
1689649458346	2068780
1689649458386	2068548
1689649458426	2068313
1689649458466	2068103
1689649458506	2067937
1689649458547	2067764
1689649458586	2067578
1689649458627	2067442
1689649458667	2067264
1689649458707	2067099
1689649458748	2066958
1689649458787	2066823
1689649458827	2066725
1689649458867	2066667
1689649458907	2066619
1689649458948	2066552
1689649458987	2066506
1689649459027	2066338
1689649459067	2066082
1689649459107	2065810
1689649459148	2065598
1689649459188	2065415
1689649459228	2065248
1689649459268	2065164
1689649459308	2065078
1689649459349	2065016
1689649459388	2064886
1689649459428	2064745
1689649459468	2064662
1689649459508	2064581
1689649459549	2064482
1689649459588	2064434
1689649459628	2064385
1689649459668	2064345
1689649459709	2064293
1689649459750	2064206
1689649459789	2063978
1689649459829	2063652
1689649459869	2063384
1689649459909	2063125
1689649459950	2062853
1689649459989	2062615
1689649460029	2062425
1689649460069	2062220
1689649460109	2062024
1689649460150	2061813
1689649460190	2061689
1689649460230	2061532
1689649460270	2061391
1689649460310	2061246
1689649460351	2061128
1689649460390	2061040
1689649460430	2060945
1689649460470	2060856
1689649460510	2060733
1689649460551	2060525
1689649460590	2060194
1689649460631	2059903
1689649460671	2059637
1689649460711	2059367
1689649460752	2059093
1689649460791	2058889
1689649460831	2058687
1689649460871	2058479
1689649460912	2058285
1689649460953	2058137
1689649460992	2057974
1689649461032	2057877
1689649461072	2057771
1689649461112	2057650
1689649461153	2057567
1689649461192	2057489
1689649461232	2057455
1689649461273	2057392
1689649461313	2057182
1689649461354	2056872
1689649461393	2056321
1689649461433	2056066
1689649461473	2055820
1689649461513	2055580
1689649461554	2055362
1689649461594	2055153
1689649461634	2054967
1689649461674	2054747
1689649461714	2054602
1689649461755	2054445
1689649461794	2054312
1689649461834	2054210
1689649461875	2054095
1689649461915	2054059
1689649461956	2054003
1689649461995	2053950
1689649462035	2053921
1689649462075	2053903
1689649462116	2053732
1689649462157	2053443
1689649462196	2053183
1689649462236	2052934
1689649462276	2052687
1689649462316	2052486
1689649462357	2052279
1689649462396	2052036
1689649462437	2051872
1689649462477	2051714
1689649462517	2051588
1689649462558	2051534
1689649462597	2051457
1689649462637	2051354
1689649462678	2051328
1689649462718	2051316
1689649462759	2051288
1689649462798	2051271
1689649462838	2051290
1689649462878	2051172
1689649462918	2050945
1689649462960	2050741
1689649462999	2050552
1689649463039	2050404
1689649463079	2050241
1689649463119	2050125
1689649463160	2050015
1689649463200	2049895
1689649463240	2049825
1689649463280	2049749
1689649463320	2049742
1689649463361	2049707
1689649463400	2049711
1689649463440	2049708
1689649463480	2049758
1689649463520	2049785
1689649463562	2049828
1689649463601	2049896
1689649463641	2049963
1689649463681	2049903
1689649463721	2049718
1689649463762	2049566
1689649463802	2049461
1689649463842	2049324
1689649463882	2049211
1689649463922	2049143
1689649463963	2049073
1689649464002	2048980
1689649464042	2048936
1689649464082	2048926
1689649464122	2048920
1689649464164	2048942
1689649464203	2048985
1689649464243	2049006
1689649464283	2049075
1689649464323	2049140
1689649464364	2049173
1689649464404	2049265
1689649464443	2049388
1689649464484	2049463
1689649464524	2049524
1689649464565	2049481
1689649464604	2049323
1689649464644	2049215
1689649464684	2049138
1689649464724	2049064
1689649464766	2048986
1689649464805	2048916
1689649464845	2048900
1689649464885	2048845
1689649464925	2048831
1689649464966	2048837
1689649465006	2048868
1689649465046	2048893
1689649465086	2048956
1689649465126	2049021
1689649465167	2049080
1689649465206	2049175
1689649465247	2049268
1689649465287	2049382
1689649465327	2049518
1689649465368	2049636
1689649465407	2049617
1689649465447	2049548
1689649465488	2049482
1689649465528	2049439
1689649465569	2049390
1689649465608	2049361
1689649465648	2049358
1689649465688	2049313
1689649465728	2049329
1689649465769	2049317
1689649465808	2049363
1689649465849	2049431
1689649465889	2049529
1689649465929	2049611
1689649465970	2049737
1689649466009	2049858
1689649466049	2050013
1689649466089	2050240
1689649466129	2050381
1689649466170	2050575
1689649466209	2050666
1689649466249	2050732
1689649466289	2050698
1689649466330	2050690
1689649466371	2050670
1689649466410	2050674
1689649466450	2050717
1689649466490	2050723
1689649466530	2050756
1689649466571	2050791
1689649466610	2050819
1689649466650	2050895
1689649466690	2050965
1689649466730	2051049
1689649466771	2051104
1689649466811	2051199
1689649466851	2051293
1689649466891	2051404
1689649466931	2051485
1689649466972	2051612
1689649467011	2051735
1689649467051	2051743
1689649467091	2051644
1689649467131	2051577
1689649467172	2051558
1689649467211	2051495
1689649467251	2051443
1689649467292	2051447
1689649467332	2051465
1689649467373	2051448
1689649467412	2051476
1689649467452	2051509
1689649467492	2051579
1689649467532	2051637
1689649467573	2051747
1689649467612	2051879
1689649467652	2052023
1689649467692	2052155
1689649467732	2052403
1689649467774	2052616
1689649467813	2052819
