#	deviceModel: SM-R900	deviceOs: 11
1689648235172	2347935
1689648235212	2347966
1689648235252	2348069
1689648235292	2348033
1689648235332	2347974
1689648235373	2347881
1689648235413	1535917
1689648235453	1535916
1689648235493	1535945
1689648235533	1535913
1689648235574	1535901
1689648235613	1535891
1689648235654	1535904
1689648235694	1666652
1689648235734	1666862
1689648235775	1667047
1689648235814	1667057
1689648235855	1667447
1689648235895	1667533
1689648235935	1667385
1689648235977	1667463
1689648236016	1667459
1689648236056	1667490
1689648236096	1667470
1689648236137	1667608
1689648236178	1667782
1689648236217	1667865
1689648236257	1667928
1689648236298	1667976
1689648236338	1668051
1689648236379	1668145
1689648236419	1668264
1689648236458	1668431
1689648236499	1668478
1689648236539	1668443
1689648236580	1668474
1689648236619	1668474
1689648236659	1668575
1689648236699	1668668
1689648236739	1668832
1689648236780	1669001
1689648236819	1669072
1689648236860	1669263
1689648236900	1669458
1689648236940	1669606
1689648236981	1669784
1689648237021	1670076
1689648237061	1670174
1689648237101	1670177
1689648237141	1670176
1689648237182	1670293
1689648237221	1670418
1689648237262	1670369
1689648237302	1670347
1689648237342	1670338
1689648237383	1670345
1689648237422	1670353
1689648237463	1670538
1689648237503	1670718
1689648237543	1671143
1689648237584	1671329
1689648237624	1671555
1689648237664	1671992
1689648237704	1672179
1689648237744	1672181
1689648237785	1671908
1689648237825	1671508
1689648237865	1671122
1689648237905	1671309
1689648237945	1671964
1689648237987	1672421
1689648238026	1672677
1689648238066	1673099
1689648238106	1673425
1689648238147	1674282
1689648238188	1674655
1689648238227	1675239
1689648238267	1675598
1689648238307	1676051
1689648238347	1675956
1689648238388	1675935
1689648238427	1675720
1689648238468	1676057
1689648238508	1675916
1689648238548	1676310
1689648238589	1675873
1689648238628	1676128
1689648238668	1675986
1689648238709	1676189
1689648238749	1676355
1689648238790	1676157
1689648238829	1675834
1689648238869	1675756
1689648238909	1675443
1689648238950	1675329
1689648238991	1674905
1689648239030	1674864
1689648239070	1674817
1689648239110	1674683
1689648239151	1674291
1689648239192	1674320
1689648239231	1674698
1689648239271	1674827
1689648239312	1674997
1689648239352	1675120
1689648239393	1675349
1689648239432	1675519
1689648239472	1675696
1689648239512	1675780
1689648239553	1675947
1689648239594	1676030
1689648239633	1675940
1689648239674	1675724
1689648239714	1675691
1689648239754	1675653
1689648239795	1675545
1689648239834	1675522
1689648239875	1675603
1689648239915	1675598
1689648239955	1675619
1689648239996	1675691
1689648240035	1675783
1689648240075	1675880
1689648240115	1675969
1689648240156	1676091
1689648240197	1676196
1689648240236	1676238
1689648240276	1676180
1689648240316	1676059
1689648240356	1676043
1689648240398	1676045
1689648240437	1676027
1689648240477	1676060
1689648240517	1676126
1689648240557	1676198
1689648240598	1676273
1689648240638	1676327
1689648240678	1676432
1689648240718	1676573
1689648240758	1676690
1689648240799	1676847
1689648240839	1676965
1689648240879	1677355
1689648240919	1677415
1689648240959	1677295
1689648241001	1677279
1689648241040	1677352
1689648241080	1677382
1689648241120	1677420
1689648241160	1677497
1689648241201	1677605
1689648241241	1677596
1689648241281	1677664
1689648241321	1677749
1689648241362	1677858
1689648241403	1677994
1689648241442	1678118
1689648241482	1678235
1689648241522	1678367
1689648241563	1678434
1689648241604	1678335
1689648241643	1678272
1689648241683	1678315
1689648241723	1678336
1689648241763	1678299
1689648241804	1678342
1689648241844	1678406
1689648241884	1678407
1689648241924	1678395
1689648241964	1678421
1689648242005	1678388
1689648242044	1678415
1689648242085	1678482
1689648242125	1678501
1689648242165	1678480
1689648242206	1678517
1689648242245	1678359
1689648242285	1678204
1689648242326	1678146
1689648242366	1678107
1689648242407	1678081
1689648242446	1678083
1689648242486	1678093
1689648242526	1678176
1689648242567	1678240
1689648242608	1678232
1689648242647	1678228
1689648242687	1678283
1689648242727	1678386
1689648242768	1678487
1689648242809	1678661
1689648242848	1678816
1689648242888	1678990
1689648242929	1678965
1689648242969	1678825
1689648243010	1678647
1689648243049	1679187
1689648243089	1680548
1689648243129	1682321
1689648243170	1683533
1689648243211	1684921
1689648243250	1686278
1689648243290	1687524
1689648243330	1688366
1689648243371	1688679
1689648243412	1688777
1689648243451	1688500
1689648243491	1688399
1689648243531	1688841
1689648243571	1689713
1689648243612	1689214
1689648243652	1688796
1689648243692	1689191
1689648243732	1689250
1689648243772	1689910
1689648243813	1689860
1689648243852	1689997
1689648243893	1690216
1689648243933	1690442
1689648243973	1690822
1689648244014	1691053
1689648244053	1690940
1689648244093	1691385
1689648244133	1691776
1689648244174	1692180
1689648244215	1692468
1689648244254	1692610
1689648244294	1692648
1689648244334	1692839
1689648244375	1693045
1689648244416	1693315
1689648244455	1693550
1689648244495	1693879
1689648244535	1694307
1689648244575	1694618
1689648244617	1694909
1689648244656	1695190
1689648244696	1695471
1689648244736	1695602
1689648244776	1695840
1689648244817	1695905
1689648244857	1696022
1689648244897	1696293
1689648244937	1696295
1689648244977	1695785
1689648245018	1695971
1689648245058	1696632
1689648245098	1697022
1689648245138	1695951
1689648245178	1694552
1689648245220	1693376
1689648245259	1692700
1689648245299	1692390
1689648245339	1691687
1689648245379	1691817
1689648245420	1692070
1689648245460	1692869
1689648245500	1692364
1689648245540	1692449
1689648245580	1692549
1689648245621	1692231
1689648245660	1691891
1689648245700	1691677
1689648245740	1691335
1689648245781	1691015
1689648245822	1690653
1689648245861	1690428
1689648245901	1690179
1689648245942	1689866
1689648245982	1689641
1689648246023	1689409
1689648246062	1689250
1689648246102	1689089
1689648246142	1688946
1689648246183	1688801
1689648246224	1688715
1689648246263	1688632
1689648246303	1688279
1689648246343	1687654
1689648246384	1687049
1689648246425	1686434
1689648246464	1685803
1689648246504	1685407
