#	deviceModel: SM-R900	deviceOs: 11
1689648269004	629280
1689648269008	350201
1689648269019	350232
1689648269028	350247
1689648269039	350190
1689648269049	350060
1689648269060	350008
1689648269069	350016
1689648269079	349968
1689648269089	349895
1689648269100	349835
1689648269110	349813
1689648269120	349793
1689648269129	349764
1689648269140	349756
1689648269150	349759
1689648269161	349741
1689648269170	349710
1689648269180	349657
1689648269190	349605
1689648269200	349582
1689648269210	349571
1689648269220	349550
1689648269230	349505
1689648269241	349433
1689648269250	503689
1689648269261	503568
1689648269270	503498
1689648269280	503456
1689648269290	503470
1689648269300	503547
1689648269310	503595
1689648269320	503628
1689648269330	503637
1689648269341	503578
1689648269350	503521
1689648269362	503502
1689648269371	503500
1689648269382	898293
1689648269390	985169
1689648269400	985230
1689648269410	985326
1689648269421	985346
1689648269430	985307
1689648269442	985338
1689648269451	985394
1689648269462	985474
1689648269471	985602
1689648269482	985738
1689648269491	985898
1689648269501	985938
1689648269511	985995
1689648269522	1915481
1689648269531	1971744
1689648269541	1971838
1689648269551	1971954
1689648269562	1972101
1689648269571	1972215
1689648269581	1972396
1689648269591	1972566
1689648269602	1972723
1689648269611	1972926
1689648269621	1973158
1689648269631	1973377
1689648269642	1973560
1689648269651	1973724
1689648269663	2036899
1689648269671	1993280
1689648269682	1993306
1689648269692	1993298
1689648269702	1993124
1689648269712	1993100
1689648269722	1993009
1689648269732	1992840
1689648269742	1992843
1689648269752	1992900
1689648269763	1992959
1689648269772	1993077
1689648269782	1993121
1689648269792	1993154
1689648269803	1993091
1689648269812	1993035
1689648269822	1993019
1689648269832	1993010
1689648269843	1992906
1689648269852	1992793
1689648269864	1992591
1689648269872	1992413
1689648269883	1992313
1689648269893	1992289
1689648269903	1992292
1689648269913	1992323
1689648269923	1992297
1689648269933	1992259
1689648269943	1992259
1689648269953	1992213
1689648269964	1992170
1689648269973	1992123
1689648269983	1992302
1689648269993	1992435
1689648270003	1992480
1689648270013	1992488
1689648270023	1992504
1689648270033	1992476
1689648270043	1992450
1689648270053	1992419
1689648270064	1992435
1689648270073	1992444
1689648270084	1992495
1689648270093	1992469
1689648270104	1992417
1689648270113	1992167
1689648270124	1992014
1689648270133	1991803
1689648270144	1991715
1689648270153	1991654
1689648270165	1991576
1689648270174	1991489
1689648270184	1991320
1689648270193	1991121
1689648270204	1990760
1689648270214	1990327
1689648270224	1990196
1689648270234	1990304
1689648270244	1990337
1689648270254	1990132
1689648270265	1989878
1689648270274	1989393
1689648270284	1989037
1689648270294	1988805
1689648270304	1988757
1689648270314	1988718
1689648270325	1988847
1689648270335	1989214
1689648270345	1989526
1689648270355	1989584
1689648270366	1989611
1689648270374	1989573
1689648270385	1989401
1689648270394	1989138
1689648270405	1988896
1689648270415	1988892
1689648270425	1988874
1689648270435	1988904
1689648270445	1988973
1689648270455	1989275
1689648270466	1989508
1689648270475	1989607
1689648270485	1989747
1689648270495	1989633
1689648270505	1989319
1689648270515	1988883
1689648270525	1988507
1689648270535	1988058
1689648270545	1987568
1689648270555	1987009
1689648270567	1986493
1689648270575	1986036
1689648270586	1985613
1689648270595	1985362
1689648270606	1984991
1689648270615	1984649
1689648270626	1984275
1689648270635	1983965
1689648270646	1983678
1689648270656	1983537
1689648270667	1983493
1689648270675	1983386
1689648270686	1983310
1689648270696	1983271
1689648270706	1983138
1689648270716	1982972
1689648270726	1982757
1689648270736	1982421
1689648270746	1982245
1689648270756	1982262
1689648270767	1982754
1689648270776	1983226
1689648270786	1983670
1689648270796	1983918
1689648270807	1983855
1689648270816	1983490
1689648270826	1983436
1689648270836	1983691
1689648270847	1983915
1689648270856	1983800
1689648270868	1983844
1689648270876	1983985
1689648270887	1984019
1689648270897	1983664
1689648270907	1983083
1689648270917	1982385
1689648270927	1981360
