#	deviceModel: SM-R900	deviceOs: 11
1689663368287	629280
1689663368293	419064
1689663368303	419062
1689663368313	419053
1689663368323	419062
1689663368334	419051
1689663368344	419073
1689663368354	419046
1689663368364	419085
1689663368374	419072
1689663368385	419079
1689663368394	419084
1689663368405	419077
1689663368414	419078
1689663368425	419061
1689663368434	419089
1689663368445	419059
1689663368455	419048
1689663368465	419031
1689663368475	419043
1689663368486	419008
1689663368495	419006
1689663368505	419009
1689663368515	419009
1689663368526	419006
1689663368535	552903
1689663368545	552895
1689663368555	552875
1689663368565	552858
1689663368575	552843
1689663368586	552861
1689663368595	552838
1689663368606	552839
1689663368615	552836
1689663368626	552815
1689663368635	552817
1689663368646	552804
1689663368656	552826
1689663368667	1042135
1689663368676	1042158
1689663368687	1096428
1689663368695	1096476
1689663368706	1096453
1689663368716	1096446
1689663368726	1096423
1689663368736	1096382
1689663368746	1096414
1689663368756	1096414
1689663368767	1096418
1689663368776	1096407
1689663368787	1096378
1689663368796	1096354
1689663368808	2214965
1689663368816	2214926
1689663368827	2199285
1689663368837	2199131
1689663368847	2199159
1689663368857	2199421
1689663368867	2199860
1689663368877	2200359
1689663368888	2200919
1689663368897	2201472
1689663368907	2202066
1689663368917	2202528
1689663368928	2203000
1689663368937	2203361
1689663368948	2140666
1689663368957	2140861
1689663368968	2185017
1689663368978	2185231
1689663368989	2185417
1689663368998	2185745
1689663369009	2185943
1689663369018	2186229
1689663369028	2186492
1689663369038	2186840
1689663369049	2187185
1689663369058	2187357
1689663369069	2187615
1689663369078	2187882
1689663369091	2188197
1689663369098	2188378
1689663369109	2188534
1689663369118	2188592
1689663369129	2188689
1689663369138	2188780
1689663369149	2188842
1689663369158	2188790
1689663369169	2188793
1689663369179	2188693
1689663369190	2188648
1689663369199	2188637
1689663369210	2188520
1689663369219	2188557
1689663369229	2188546
1689663369239	2188492
1689663369249	2188496
1689663369259	2188484
1689663369269	2188437
1689663369279	2188441
1689663369290	2188415
1689663369299	2188370
1689663369309	2188353
1689663369319	2188350
1689663369329	2188361
1689663369339	2188351
1689663369349	2188494
1689663369359	2188557
1689663369370	2188688
1689663369380	2188934
1689663369390	2189109
1689663369400	2189235
1689663369410	2189429
1689663369419	2189648
1689663369430	2190010
1689663369439	2190288
1689663369450	2190678
1689663369459	2190975
1689663369470	2191338
1689663369480	2191660
1689663369491	2191924
1689663369500	2192000
1689663369510	2192024
1689663369520	2191912
1689663369530	2191604
1689663369540	2191241
1689663369550	2191002
1689663369560	2190812
1689663369571	2190703
1689663369580	2190581
1689663369592	2190507
1689663369600	2190350
1689663369611	2190225
1689663369620	2190105
1689663369630	2190015
1689663369640	2189976
1689663369650	2189915
1689663369660	2189874
1689663369670	2189822
1689663369681	2189673
1689663369692	2189568
1689663369701	2189448
1689663369711	2189266
1689663369720	2189259
1689663369732	2189191
1689663369741	2189164
1689663369751	2189119
1689663369761	2189015
1689663369771	2189040
1689663369781	2188988
1689663369792	2189026
1689663369801	2188987
1689663369811	2188976
1689663369821	2188992
1689663369831	2189066
1689663369841	2189091
1689663369853	2189146
1689663369861	2189101
1689663369872	2189050
1689663369881	2189023
1689663369893	2188979
1689663369901	2188846
1689663369912	2188825
1689663369922	2188740
1689663369932	2188746
1689663369942	2188701
1689663369952	2188746
1689663369962	2188760
1689663369972	2188765
1689663369982	2188786
1689663369994	2188764
1689663370002	2188814
1689663370012	2188739
1689663370022	2188728
1689663370033	2188704
1689663370042	2188702
1689663370053	2188640
1689663370062	2188726
1689663370073	2188637
1689663370082	2188606
1689663370094	2188624
1689663370103	2188532
1689663370113	2188494
1689663370123	2188533
1689663370133	2188446
1689663370143	2188443
1689663370153	2188425
1689663370163	2188410
1689663370173	2188336
1689663370183	2188292
1689663370194	2188273
1689663370203	2188327
1689663370214	2188474
1689663370223	2188623
1689663370233	2188878
1689663370243	2188979
1689663370254	2189096
1689663370263	2189193
1689663370274	2189294
1689663370284	2189238
1689663370295	2189298
1689663370304	2189362
1689663370314	2189428
1689663370324	2189323
1689663370334	2189279
1689663370345	2189283
1689663370354	2189216
1689663370364	2189176
1689663370375	2189103
1689663370384	2188890
1689663370396	2188825
1689663370404	2188682
1689663370415	2188543
1689663370424	2188414
1689663370435	2188291
1689663370445	2188229
1689663370455	2188160
1689663370465	2188043
1689663370475	2187990
1689663370485	2187895
1689663370496	2187896
1689663370505	2187804
1689663370515	2187804
1689663370525	2187784
1689663370535	2187731
1689663370545	2187687
1689663370556	2187656
1689663370566	2187651
1689663370576	2187576
1689663370586	2187503
1689663370597	2187425
1689663370606	2187344
1689663370616	2187414
1689663370626	2187476
1689663370636	2187489
1689663370646	2187551
1689663370656	2187639
1689663370666	2187718
1689663370676	2187828
1689663370686	2188073
1689663370698	2188209
1689663370707	2188443
1689663370717	2188561
1689663370726	2188810
1689663370737	2188942
1689663370747	2189104
1689663370757	2189249
1689663370767	2189348
1689663370778	2189491
1689663370787	2189547
1689663370799	2189591
1689663370807	2189638
1689663370818	2189653
1689663370827	2189619
1689663370837	2189524
1689663370847	2189473
1689663370858	2189383
1689663370867	2189320
1689663370878	2189168
1689663370887	2189214
1689663370899	2189238
1689663370907	2189281
1689663370918	2189326
1689663370928	2189344
1689663370939	2189360
1689663370948	2189357
1689663370958	2189562
1689663370968	2189839
1689663370978	2190107
1689663370988	2190319
1689663370999	2190426
1689663371008	2190659
1689663371018	2190738
1689663371028	2190928
1689663371038	2190992
1689663371048	2190970
1689663371058	2191000
1689663371068	2191003
1689663371078	2190978
1689663371088	2190921
1689663371100	2190924
1689663371108	2190826
1689663371118	2190692
1689663371128	2190608
1689663371139	2190537
1689663371148	2190308
1689663371159	2190055
1689663371168	2189803
1689663371179	2189612
1689663371188	2189456
1689663371200	2189337
1689663371208	2189157
1689663371219	2189035
1689663371229	2189023
1689663371239	2188943
1689663371249	2188802
1689663371259	2188695
1689663371269	2188431
1689663371279	2188181
1689663371289	2187945
1689663371301	2187661
1689663371309	2187470
1689663371320	2187306
1689663371329	2187099
1689663371339	2186961
1689663371349	2186830
1689663371360	2186651
1689663371369	2186599
1689663371380	2186366
1689663371389	2186236
1689663371401	2186065
1689663371409	2185890
1689663371420	2185730
1689663371430	2185581
1689663371440	2185391
1689663371450	2185157
1689663371461	2184986
1689663371470	2184764
1689663371481	2184534
1689663371490	2184269
1689663371502	2183887
1689663371510	2183625
1689663371520	2183314
1689663371530	2183042
1689663371541	2182704
1689663371551	2182372
1689663371561	2182107
1689663371570	2181906
1689663371581	2181878
