#	deviceModel: SM-R900	deviceOs: 11
1689662421860	629280
1689662421870	405845
1689662421880	405928
1689662421890	405823
1689662421901	405927
1689662421910	405813
1689662421922	405920
1689662421930	405867
1689662421941	405864
1689662421951	405882
1689662421961	405909
1689662421971	405907
1689662421981	405904
1689662421991	405845
1689662422001	405844
1689662422011	405805
1689662422022	405823
1689662422031	405877
1689662422041	405801
1689662422051	405859
1689662422062	405787
1689662422071	405831
1689662422082	405861
1689662422091	405841
1689662422102	405835
1689662422112	405842
1689662422124	535310
1689662422132	535305
1689662422142	535326
1689662422152	535306
1689662422162	535326
1689662422172	535281
1689662422182	535295
1689662422192	535301
1689662422202	535302
1689662422212	535297
1689662422224	535309
1689662422232	535303
1689662422243	977377
1689662422252	977354
1689662422263	1055315
1689662422273	1055330
1689662422283	1055354
1689662422293	1055331
1689662422303	1055364
1689662422314	1055368
1689662422325	1055376
1689662422333	1055381
1689662422343	1055384
1689662422353	1055391
1689662422363	1055397
1689662422373	1055381
1689662422384	2126752
1689662422393	2126751
1689662422403	2119175
1689662422413	2119238
1689662422424	2119132
1689662422434	2119075
1689662422444	2118988
1689662422453	2118821
1689662422463	2118735
1689662422473	2118694
1689662422483	2118589
1689662422493	2118476
1689662422503	2118371
1689662422514	2118372
1689662422525	2118331
1689662422533	2118309
1689662422544	2118271
1689662422553	2118215
1689662422564	2118183
1689662422573	2118124
1689662422584	2118138
1689662422594	2118128
1689662422604	2118082
1689662422614	2118062
1689662422625	2118066
1689662422634	2118082
1689662422644	2118042
1689662422653	2118026
1689662422664	2117953
1689662422674	2117944
1689662422684	2117881
1689662422694	2117878
1689662422704	2117777
1689662422714	2117768
1689662422725	2117663
1689662422734	2117682
1689662422744	2117629
1689662422754	2117549
1689662422764	2117485
1689662422774	2117497
1689662422784	2117415
1689662422794	2117370
1689662422804	2117344
1689662422814	2117349
1689662422825	2117406
1689662422834	2117380
1689662422844	2117382
1689662422854	2117413
1689662422865	2117382
1689662422874	2117421
1689662422884	2117434
1689662422894	2117423
1689662422905	2117468
1689662422914	2117473
1689662422927	2117452
1689662422934	2117392
1689662422945	2117447
1689662422954	2117440
1689662422965	2117464
1689662422974	2117492
1689662422985	2117458
1689662422994	2117496
1689662423005	2117466
1689662423015	2117507
1689662423026	2117431
1689662423034	2117507
1689662423045	2117477
1689662423055	2117496
1689662423065	2117521
1689662423075	2117559
1689662423085	2117619
1689662423095	2117687
1689662423105	2117709
1689662423115	2117795
1689662423126	2117864
1689662423135	2117852
1689662423145	2117881
1689662423155	2117854
1689662423165	2117775
1689662423175	2117758
1689662423186	2117841
1689662423196	2117893
1689662423205	2117977
1689662423215	2118069
1689662423227	2118394
1689662423235	2118598
1689662423246	2118960
1689662423255	2119130
1689662423266	2119246
1689662423275	2119477
1689662423286	2119622
1689662423295	2119748
1689662423306	2119774
1689662423315	2119801
1689662423327	2119916
1689662423336	2120119
1689662423346	2120208
1689662423356	2120284
1689662423366	2120380
1689662423376	2120572
1689662423386	2120778
1689662423396	2121068
1689662423406	2121267
1689662423416	2121505
1689662423427	2121786
1689662423436	2122034
1689662423446	2122238
1689662423456	2122380
1689662423467	2122575
1689662423476	2122805
1689662423486	2122868
1689662423496	2123098
1689662423507	2123269
1689662423517	2123444
1689662423528	2123569
1689662423537	2123680
1689662423547	2123824
1689662423556	2123955
1689662423567	2124042
1689662423577	2124183
1689662423587	2124306
1689662423597	2124254
1689662423607	2123988
1689662423617	2123668
1689662423628	2123167
1689662423637	2122727
1689662423647	2122428
1689662423657	2122186
1689662423668	2121974
1689662423677	2121836
1689662423688	2121644
1689662423697	2121518
1689662423708	2121362
1689662423717	2121223
1689662423729	2121048
1689662423738	2120952
1689662423748	2120862
1689662423758	2120697
1689662423768	2120684
1689662423778	2120643
1689662423788	2120691
1689662423798	2120741
1689662423808	2120827
1689662423818	2120846
1689662423829	2121060
1689662423838	2121150
1689662423848	2121258
1689662423858	2121276
1689662423868	2121258
1689662423878	2121246
1689662423888	2121283
1689662423899	2121262
1689662423909	2121199
1689662423918	2121040
1689662423930	2120799
1689662423939	2120563
1689662423949	2120399
1689662423959	2120148
1689662423969	2120068
1689662423979	2119947
1689662423989	2119748
1689662423999	2119512
1689662424009	2119359
1689662424019	2119124
1689662424031	2118862
1689662424039	2118657
1689662424050	2118366
1689662424059	2118193
1689662424070	2117936
1689662424079	2117744
1689662424090	2117484
1689662424099	2117205
1689662424110	2116979
1689662424120	2116507
1689662424131	2116189
1689662424139	2115910
1689662424150	2115614
1689662424160	2115324
1689662424171	2114993
1689662424180	2114709
1689662424191	2114539
1689662424200	2114290
1689662424210	2114079
1689662424220	2113785
1689662424231	2113448
1689662424240	2112905
1689662424250	2112364
1689662424260	2111862
1689662424271	2111461
1689662424281	2111179
1689662424290	2110927
1689662424300	2110813
1689662424311	2110668
1689662424320	2110570
1689662424332	2110514
1689662424340	2110537
1689662424351	2110566
1689662424361	2110721
1689662424372	2110866
1689662424381	2111202
1689662424391	2111566
1689662424401	2111896
1689662424411	2112171
1689662424421	2112275
1689662424432	2112332
1689662424441	2112523
1689662424451	2112671
1689662424461	2112612
1689662424474	2112621
1689662424481	2112536
1689662424492	2112435
1689662424501	2112335
1689662424512	2112294
1689662424522	2112206
1689662424533	2112136
1689662424542	2112214
1689662424552	2112155
1689662424563	2112212
1689662424572	2112203
1689662424582	2112166
1689662424592	2112139
1689662424602	2112049
1689662424612	2111988
1689662424622	2112095
1689662424634	2112206
1689662424642	2112187
1689662424653	2111978
1689662424662	2111865
1689662424673	2111640
1689662424683	2111543
1689662424693	2111449
1689662424703	2111382
1689662424713	2111241
1689662424723	2111062
1689662424734	2110779
1689662424743	2110557
1689662424754	2110372
1689662424763	2110272
1689662424773	2110221
