#	deviceModel: SM-R900	deviceOs: 11
1689665478481	348936
1689665478489	348937
1689665478500	348918
1689665478509	348908
1689665478520	348881
1689665478530	348912
1689665478540	348907
1689665478550	348883
1689665478560	348896
1689665478570	348891
1689665478582	348878
1689665478590	348869
1689665478601	348858
1689665478611	348842
1689665478621	348843
1689665478631	348850
1689665478642	348843
1689665478651	348830
1689665478665	348839
1689665478671	348829
1689665478682	348837
1689665478691	348825
1689665478701	348805
1689665478712	348808
1689665478721	513643
1689665478731	513654
1689665478742	513625
1689665478751	513622
1689665478767	513611
1689665478771	513607
1689665478783	513605
1689665478791	513579
1689665478801	513580
1689665478811	513561
1689665478822	513562
1689665478831	513562
1689665478842	513552
1689665478852	908342
1689665478862	1006392
1689665478872	1006323
1689665478883	1006265
1689665478892	1006255
1689665478902	1006150
1689665478912	1006093
1689665478922	1006016
1689665478932	1005931
1689665478942	1005857
1689665478952	1005765
1689665478962	1005613
1689665478972	1005543
1689665478984	1005456
1689665478994	2029404
1689665479002	2017588
1689665479012	2017310
1689665479023	2017098
1689665479032	2016831
1689665479043	2016555
1689665479053	2016375
1689665479063	2016260
1689665479073	2016191
1689665479084	2016070
1689665479093	2015886
1689665479103	2015831
1689665479113	2015715
1689665479123	2015676
1689665479133	1952452
1689665479143	1996187
1689665479153	1995959
1689665479164	1995680
1689665479173	1995395
1689665479185	1995163
1689665479193	1994954
1689665479205	1994652
1689665479214	1994442
1689665479224	1994111
1689665479234	1993727
1689665479244	1993357
1689665479255	1993001
1689665479264	1992618
1689665479274	1992251
1689665479286	1991944
1689665479294	1991748
1689665479304	1991781
1689665479315	1991855
1689665479325	1991891
1689665479334	1991887
1689665479345	1991532
1689665479354	1991135
1689665479365	1990855
1689665479374	1990366
1689665479386	1989767
1689665479395	1989062
1689665479405	1988533
1689665479415	1987860
1689665479425	1987386
1689665479435	1986971
1689665479445	1986314
1689665479455	1985447
1689665479465	1984576
1689665479475	1983714
1689665479486	1982191
1689665479495	1979159
1689665479506	1977142
1689665479515	1976699
1689665479525	1977164
1689665479535	1977485
1689665479546	1977609
1689665479555	1977503
1689665479566	1977161
1689665479576	1976811
1689665479587	1976667
1689665479596	1976642
1689665479607	1976598
1689665479616	1976393
1689665479627	1976224
1689665479636	1976123
1689665479647	1975895
1689665479656	1975828
1689665479667	1975873
1689665479678	1976326
1689665479688	1976910
1689665479696	1977313
1689665479707	1977596
1689665479716	1977943
1689665479727	1978244
1689665479736	1978577
1689665479748	1978989
1689665479757	1979499
1689665479767	1980046
1689665479777	1980252
1689665479792	1980262
1689665479797	1979999
1689665479807	1979772
1689665479817	1979593
1689665479828	1979329
1689665479837	1978641
1689665479847	1977375
1689665479857	1974663
1689665479868	1968921
